time,dest,dir,len,etd
1417108837.85,Fremont,South,6,3
1417108837.85,Richmond,North,6,10
1417108921.12,Fremont,South,6,2
1417108921.12,Richmond,North,6,9
1417108981.46,Fremont,South,6,Leaving
1417108981.46,Richmond,North,6,7
1417109041.84,Fremont,South,6,20
1417109041.84,Richmond,North,6,6
1417109101.18,Fremont,South,6,19
1417109101.18,Richmond,North,6,5
1417109161.56,Fremont,South,6,18
1417109161.56,Richmond,North,6,4
1417109221.93,Fremont,South,6,17
1417109221.93,Richmond,North,6,3
1417109281.29,Fremont,South,6,16
1417109281.29,Richmond,North,6,2
1417109341.64,Fremont,South,6,15
1417109341.64,Richmond,North,6,1
1417109402.01,Fremont,South,6,14
1417109402.01,Richmond,North,6,Leaving
1417109461.39,Fremont,South,6,13
1417109461.39,Richmond,North,5,19
1417109521.76,Fremont,South,6,12
1417109521.76,Richmond,North,5,18
1417109581.09,Fremont,South,6,11
1417109581.09,Richmond,North,5,18
1417109641.44,Fremont,South,6,10
1417109641.44,Richmond,North,5,17
1417109701.8,Fremont,South,6,10
1417109701.8,Richmond,North,5,16
1417109761.15,Fremont,South,6,10
1417109761.15,Richmond,North,5,14
1417109821.52,Fremont,South,6,7
1417109821.52,Richmond,North,5,14
1417109881.87,Fremont,South,6,6
1417109881.87,Richmond,North,5,12
1417109941.18,Fremont,South,6,5
1417109941.18,Richmond,North,5,12
1417110001.55,Fremont,South,6,4
1417110001.55,Richmond,North,5,10
1417110061.92,Fremont,South,6,3
1417110061.92,Richmond,North,5,9
1417110121.28,Fremont,South,6,2
1417110121.28,Richmond,North,5,8
1417110181.65,Fremont,South,6,Leaving
1417110181.65,Richmond,North,5,7
1417110241.99,Fremont,South,6,20
1417110241.99,Richmond,North,5,7
1417110301.36,Fremont,South,6,19
1417110301.36,Richmond,North,5,6
1417110361.69,Fremont,South,6,18
1417110361.69,Richmond,North,5,4
1417110422.01,Fremont,South,6,17
1417110422.01,Richmond,North,5,3
1417110481.37,Fremont,South,6,16
1417110481.37,Richmond,North,5,2
1417110541.71,Fremont,South,6,15
1417110541.71,Richmond,North,5,1
1417110602.07,Fremont,South,6,14
1417110602.07,Richmond,North,5,Leaving
1417110661.42,Fremont,South,6,13
1417110661.42,Richmond,North,6,19
1417110721.76,Fremont,South,6,12
1417110721.76,Richmond,North,6,18
1417110781.13,Fremont,South,6,11
1417110781.13,Richmond,North,6,17
1417110841.45,Fremont,South,6,10
1417110841.45,Richmond,North,6,17
1417110901.82,Fremont,South,6,10
1417110901.82,Richmond,North,6,15
1417110961.16,Fremont,South,6,10
1417110961.16,Richmond,North,6,15
1417111021.52,Fremont,South,6,7
1417111021.52,Richmond,North,6,14
1417111081.86,Fremont,South,6,6
1417111081.86,Richmond,North,6,13
1417111141.22,Fremont,South,6,5
1417111141.22,Richmond,North,6,12
1417111201.56,Fremont,South,6,4
1417111201.56,Richmond,North,6,11
1417111261.94,Fremont,South,6,3
1417111261.94,Richmond,North,6,10
1417111321.3,Fremont,South,6,2
1417111321.3,Richmond,North,6,9
1417111381.65,Fremont,South,6,Leaving
1417111381.65,Richmond,North,6,8
1417111442.02,Fremont,South,6,Leaving
1417111442.02,Richmond,North,6,7
1417111501.4,Fremont,South,6,19
1417111501.4,Richmond,North,6,6
1417111561.78,Fremont,South,6,18
1417111561.78,Richmond,North,6,5
1417111621.15,Fremont,South,6,17
1417111621.15,Richmond,North,6,4
1417111681.52,Fremont,South,6,16
1417111681.52,Richmond,North,6,3
1417111741.85,Fremont,South,6,15
1417111741.85,Richmond,North,6,2
1417111801.19,Fremont,South,6,14
1417111801.19,Richmond,North,6,Leaving
1417111861.54,Fremont,South,6,13
1417111861.54,Richmond,North,6,19
1417111921.89,Fremont,South,6,12
1417111921.89,Richmond,North,6,18
1417111981.27,Fremont,South,6,11
1417111981.27,Richmond,North,6,18
1417112041.64,Fremont,South,6,10
1417112041.64,Richmond,North,6,17
1417112102.0,Fremont,South,6,10
1417112102.0,Richmond,North,6,16
1417112161.38,Fremont,South,6,10
1417112161.38,Richmond,North,6,15
1417112221.75,Fremont,South,6,10
1417112221.75,Richmond,North,6,14
1417112281.11,Fremont,South,6,9
1417112281.11,Richmond,North,6,13
1417112341.45,Fremont,South,6,6
1417112341.45,Richmond,North,6,12
1417112401.81,Fremont,South,6,5
1417112401.81,Richmond,North,6,11
1417112461.17,Fremont,South,6,4
1417112461.17,Richmond,North,6,10
1417112521.53,Fremont,South,6,3
1417112521.53,Richmond,North,6,8
1417112581.89,Fremont,South,6,2
1417112581.89,Richmond,North,6,7
1417112641.26,Fremont,South,6,Leaving
1417112641.26,Richmond,North,6,6
1417112701.64,Fremont,South,6,19
1417112701.64,Richmond,North,6,5
1417112762.03,Fremont,South,6,18
1417112762.03,Richmond,North,6,4
1417112821.38,Fremont,South,6,17
1417112821.38,Richmond,North,6,3
1417112881.74,Fremont,South,6,16
1417112881.74,Richmond,North,6,2
1417112941.1,Fremont,South,6,15
1417112941.1,Richmond,North,6,1
1417113001.45,Fremont,South,6,14
1417113001.45,Richmond,North,6,Leaving
1417113061.81,Fremont,South,6,13
1417113061.81,Richmond,North,6,19
1417113121.16,Fremont,South,6,12
1417113121.16,Richmond,North,6,18
1417113181.53,Fremont,South,6,11
1417113181.53,Richmond,North,6,17
1417113241.87,Fremont,South,6,10
1417113241.87,Richmond,North,6,17
